"","X","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"16","INOSITOL METABOLISM%PATHWHIZ%PW088354",0.369127517,0.137583892625,1.09740924979589,0.272647285288848,0.74014665166418,-4.58856789612699
"5","GLYCOLYSIS%SMPDB%SMP0063478",0.26667021875,0.210703526,0.792805605715225,0.428022600370243,0.74014665166418,-4.61194644983871
"25","GLYCOGENOSIS, TYPE VII. TARUI DISEASE%SMPDB%SMP0120596",0.26667021875,0.210703526,0.792805605715225,0.428022600370243,0.74014665166418,-4.61194644983871
"29","FANCONI-BICKEL SYNDROME%PATHWHIZ%PW121892",0.26667021875,0.210703526,0.792805605715225,0.428022600370243,0.74014665166418,-4.61194644983871
"7","GLUCONEOGENESIS%PATHWHIZ%PW064594",0.2562943475,0.20566586675,0.761958333268611,0.446210521724091,0.74014665166418,-4.61389383834376
"21","GLYCOGEN STORAGE DISEASE TYPE 1A (GSD1A) OR VON GIERKE DISEASE%SMPDB%SMP0120488",0.2562943475,0.20566586675,0.761958333268611,0.446210521724091,0.74014665166418,-4.61389383834376
"26","PHOSPHOENOLPYRUVATE CARBOXYKINASE DEFICIENCY 1 (PEPCK1)%PATHWHIZ%PW121880",0.2562943475,0.20566586675,0.761958333268611,0.446210521724091,0.74014665166418,-4.61389383834376
"27","FRUCTOSE-1,6-DIPHOSPHATASE DEFICIENCY%PATHWHIZ%PW121882",0.2562943475,0.20566586675,0.761958333268611,0.446210521724091,0.74014665166418,-4.61389383834376
"28","TRIOSEPHOSPHATE ISOMERASE DEFICIENCY%PATHWHIZ%PW121883",0.2562943475,0.20566586675,0.761958333268611,0.446210521724091,0.74014665166418,-4.61389383834376
"30","GLYCOGENOSIS, TYPE IB%PATHWHIZ%PW121893",0.2562943475,0.20566586675,0.761958333268611,0.446210521724091,0.74014665166418,-4.61389383834376
"31","GLYCOGENOSIS, TYPE IC%PATHWHIZ%PW121894",0.2562943475,0.20566586675,0.761958333268611,0.446210521724091,0.74014665166418,-4.61389383834376
"32","GLYCOGENOSIS, TYPE IA. VON GIERKE DISEASE%PATHWHIZ%PW121901",0.2562943475,0.20566586675,0.761958333268611,0.446210521724091,0.74014665166418,-4.61389383834376
"18","WARBURG EFFECT%PATHWHIZ%PW088382",-0.24662346325,0.02175536275,-0.733206974074614,0.46355237777756,0.74014665166418,-4.61563933477681
"47","GNRH SIGNALING PATHWAY%SMPDB%SMP0120949",-0.22147651025,-0.0880872485,-0.65844555002618,0.510357867360075,0.74014665166418,-4.61986387792915
"6","PENTOSE PHOSPHATE PATHWAY%PATHWHIZ%PW064563",-0.19127516775,-0.048657718125,-0.568657519902829,0.569677872456314,0.74014665166418,-4.62433761915911
"19","WARBURG EFFECT%SMPDB%SMP0087420",-0.19127516775,-0.048657718125,-0.568657519902829,0.569677872456314,0.74014665166418,-4.62433761915911
"22","GLUCOSE-6-PHOSPHATE DEHYDROGENASE DEFICIENCY%SMPDB%SMP0120583",-0.19127516775,-0.048657718125,-0.568657519902829,0.569677872456314,0.74014665166418,-4.62433761915911
"23","RIBOSE-5-PHOSPHATE ISOMERASE DEFICIENCY%SMPDB%SMP0120584",-0.19127516775,-0.048657718125,-0.568657519902829,0.569677872456314,0.74014665166418,-4.62433761915911
"24","TRANSALDOLASE DEFICIENCY%SMPDB%SMP0120585",-0.19127516775,-0.048657718125,-0.568657519902829,0.569677872456314,0.74014665166418,-4.62433761915911
